Region,lga,investment,type,entity,theme,name,description
SOUTH EASTERN METRO,Casey,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham. "
SOUTH EASTERN METRO,Casey,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
BARWON SW,Greater Geelong,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Melton,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Melton,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Wyndham,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
SOUTH EASTERN METRO,Cardinia,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Melton,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Hume,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
SOUTH EASTERN METRO,Casey,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Hume,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Whittlesea,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Melton,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
SOUTH EASTERN METRO,Casey,236700000,Land acquisition,Department of Education and Training,Education,Land acquisition for new schools,"Land will be acquired for future new schools in the following municipalities: Cardinia, Casey, Greater Geelong, Hume, Melton, Whittlesea and Wyndham."
N AND W METRO,Melton,581000000,New schools construction,Department of Education and Training,Education,Aintree Secondary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Melton,581000000,New schools construction,Department of Education and Training,Education,Aintree Specialist School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
SOUTH EASTERN METRO,Casey,581000000,New schools construction,Department of Education and Training,Education,Alexander Boulevard Primary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Wyndham,581000000,New schools construction,Department of Education and Training,Education,Black Forest East Primary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Melton,581000000,New schools construction,Department of Education and Training,Education,Brookfield Primary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Hume,581000000,New schools construction,Department of Education and Training,Education,Lockerbie Central Primary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Wyndham,581000000,New schools construction,Department of Education and Training,Education,Lollypop Creek Secondary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Wyndham,581000000,New schools construction,Department of Education and Training,Education,Lollypop Creek Specialist School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Hume,581000000,New schools construction,Department of Education and Training,Education,Merrifield South Primary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
SOUTH EASTERN METRO,Cardinia,581000000,New schools construction,Department of Education and Training,Education,Officer Brunt Road Primary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Wyndham,581000000,New schools construction,Department of Education and Training,Education,Riverdale Secondary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Wyndham,581000000,New schools construction,Department of Education and Training,Education,Tarneit North Primary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Wyndham,581000000,New schools construction,Department of Education and Training,Education,Truganina North Primary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
N AND W METRO,Wyndham,41200000,New schools construction,Department of Education and Training,Education,Truganina North Secondary School (Interim Name),"The Government will build 13 new schools, contributing to its commitment to open 100 new schools across the state by 2026. Additional stages of new schools will also be constructed at four schools."
SOUTH EASTERN METRO,Cardinia,37500000,Admitted Services,Department of Health,Health,Equitable cancer care and prevention,"Funding is provided to BreastScreen Victoria (BSV) to deliver additional breast cancer screening across new and existing services. Additional investment is provided to replace radiotherapy linear accelerators in Ballarat and Geelong, and install a new radiotherapy linear accelerator in Traralgon."
N AND W METRO,Hume,37500000,Admitted Services,Department of Health,Health,Equitable cancer care and prevention,"Funding is provided to BreastScreen Victoria (BSV) to deliver additional breast cancer screening across new and existing services. Additional investment is provided to replace radiotherapy linear accelerators in Ballarat and Geelong, and install a new radiotherapy linear accelerator in Traralgon."
N AND W METRO,Wyndham,37500000,Admitted Services,Department of Health,Health,Equitable cancer care and prevention,"Funding is provided to BreastScreen Victoria (BSV) to deliver additional breast cancer screening across new and existing services. Additional investment is provided to replace radiotherapy linear accelerators in Ballarat and Geelong, and install a new radiotherapy linear accelerator in Traralgon."
