region,lga,Investment,latitude,longitude
BARWON SW,Warrnambool,$116 million*,-38,142
BARWON SW,Greater Geelong,$991 million*,,
BARWON SW,Glenelg,$991 million*,,
BARWON SW,Greater Geelong,$13.4 million*,,
BARWON SW,Colac Otway,"$700,000*",,
BARWON SW,Greater Geelong,$30.4 million,,
BARWON SW,Warrnambool,200000,,
BARWON SW,Queenscliffe,$34.2 million*,,
BARWON SW,Greater Geelong,$694 million*,,
EASTERN METRO,Monash,$13.4 million*,,
EASTERN METRO,Monash,$61.6 million*,,
EASTERN METRO,Monash,$61.6 million*,,
GIPPSLAND,South Gippsland,$991 million*,,
GIPPSLAND,Latrobe,$991 million*,,
GIPPSLAND,East Gippsland,100000,,
GIPPSLAND,Baw Baw,$320 million*,,
GIPPSLAND,Bass Coast,200000,,
GIPPSLAND,East Gippsland,250000,,
GRAMPIANS,Hepburn,$991 million*,,
GRAMPIANS,Golden Plains,$991 million*,,
GRAMPIANS,Yarriambiack,$991 million*,,
GRAMPIANS,Hepburn,$7.2 million,,
GRAMPIANS,Moorabool,$36.4 million*,,
GRAMPIANS,Moorabool,$694 million*,,
HUME,Wangaratta,$116 million*,,
HUME,Moira,$991 million*,,
HUME,Mitchell,$991 million*,,
HUME,Greater Shepparton,$991 million*,,
HUME,Indigo,"$700,000*",,
HUME,Wodonga,"$700,000*",,
HUME,Greater Shepparton,$10 million,,
HUME,Murrindindi,$5 million,,
HUME,Mitchell,$694 million*,,
LODDON MALLE,Loddon,$991 million*,,
LODDON MALLE,Central Goldfields,$991 million*,,
LODDON MALLE,Mildura,$991 million*,,
LODDON MALLE,Campaspe,$991 million*,,
LODDON MALLE,Greater Bendigo,$991 million*,,
LODDON MALLE,Greater Bendigo,$6 million,,
N AND W METRO,Hume,$116 million*,,
N AND W METRO,Brimbank,$116 million*,,
N AND W METRO,Hume,$450 million*,,
N AND W METRO,Whittlesea,$450 million*,,
N AND W METRO,Merri-bek,$991 million*,,
N AND W METRO,Banyule,$991 million*,,
N AND W METRO,Brimbank,$991 million*,,
N AND W METRO,Whittlesea,$991 million*,,
N AND W METRO,Melton,$991 million*,,
N AND W METRO,Darebin,$991 million*,,
N AND W METRO,Melton,$991 million*,,
N AND W METRO,Wyndham,$991 million*,,
N AND W METRO,Merri-bek,$991 million*,,
N AND W METRO,Brimbank,$991 million*,,
N AND W METRO,Melbourne,$7.4 million*,,
N AND W METRO,Whittlesea,$7.4 million*,,
N AND W METRO,Hobsons Bay,$7.4 million*,,
N AND W METRO,Whittlesea,$13.4 million*,,
N AND W METRO,Brimbank,$13.4 million*,,
N AND W METRO,Melbourne,$1.5 million,,
N AND W METRO,Maribyrnong,"$400,000*",,
N AND W METRO,Whittlesea,"$400,000*",,
N AND W METRO,Hume,$170 million*,,
N AND W METRO,Melton,$36.4 million*,,
N AND W METRO,Wyndham,$36.4 million*,,
N AND W METRO,Wyndham,$36.4 million*,,
N AND W METRO,Hobsons Bay,$46.8 million*,,
N AND W METRO,Banyule,$61.6 million*,,
N AND W METRO,Nillumbik,$61.6 million*,,
N AND W METRO,Wyndham,$61.6 million*,,
N AND W METRO,Hobsons Bay,$694 million*,,
N AND W METRO,Wyndham,$694 million*,,
N AND W METRO,Melton,$650 million,,
N AND W METRO,Wyndham,$618 million*,,
N AND W METRO,Hume,$618 million*,,
N AND W METRO,Wyndham,$618 million*,,
N AND W METRO,Whittlesea,$618 million*,,
N AND W METRO,Hume,$618 million*,,
N AND W METRO,Wyndham,$618 million*,,
SOUTH EASTERN METRO,Frankston,investment,,
SOUTH EASTERN METRO,Greater Dandenong,$116 million*,,
SOUTH EASTERN METRO,Greater Dandenong,$116 million*,,
SOUTH EASTERN METRO,Frankston,$991 million*,,
SOUTH EASTERN METRO,Casey,$991 million*,,
SOUTH EASTERN METRO,Casey,$991 million*,,
SOUTH EASTERN METRO,Greater Dandenong,$991 million*,,
SOUTH EASTERN METRO,Kingston,$991 million*,,
SOUTH EASTERN METRO,Casey,$7.4 million*,,
SOUTH EASTERN METRO,Frankston,$13.4 million*,,
SOUTH EASTERN METRO,Casey,$34.2 million*,,
SOUTH EASTERN METRO,Casey,$36.4 million*,,
SOUTH EASTERN METRO,Frankston,$36.4 million*,,
SOUTH EASTERN METRO,Kingston,$61.6 million*,,
SOUTH EASTERN METRO,Casey,$61.6 million*,,
SOUTH EASTERN METRO,Casey,$694 million*,,
SOUTH EASTERN METRO,Casey,$618 million*,,
SOUTH EASTERN METRO,Casey,$618 million*,,
SOUTH EASTERN METRO,Cardinia,$618 million*,,
SOUTH EASTERN METRO,Casey,$618 million*,,
SOUTH EASTERN METRO,Port Phillip,$618 million*,,
,,$618 million*,,
